tipo,pilar,fecha_publicacion,estado,hook,agitacion,reencuadre,sistema,cta,caption,hashtags,descripcion_visual,formato_produccion,guion,duracion_seg,imagen_url,prompt_imagen
"reel","DOLOR","2026-06-29","borrador","POV: son las 9pm. Un interesado escribió a las 2. Nadie respondió.","No fue intencional. El vendedor estaba en visita. Pensó que ya lo habían contestado. Ese lead ya firmó con la inmobiliaria de al lado.","No es un problema de esfuerzo. Es un problema de sistema. Sin sistema el seguimiento depende de la memoria. Y la memoria falla siempre.","Con el sistema que instalamos cada consulta queda registrada, asignada y con seguimiento automático. El dueño ve en tiempo real qué pasó con cada una.","Comentá DEMO y te mostramos cómo se vería en tu inmobiliaria.","POV: son las 9pm. Un interesado escribió a las 2. Nadie respondió.\n\nNo fue intencional. El vendedor estaba en visita. Pensó que ya lo habían contestado.\n\nEse lead firmó con la inmobiliaria de al lado.\n\nEsto no es un problema de esfuerzo. Es un problema de sistema.\n\nSin sistema el seguimiento depende de la memoria. Y la memoria siempre falla.\n\n↳ Comentá DEMO y te mostramos cómo ordenar esto en tu inmobiliaria.","#inmobiliaria|#inmobiliariasargentina|#leads|#ventas|#sistemadegestion|#godreamai|#automatizacion|#crminmobiliario","Tema 3 – Seguimiento comercial / Clientes olvidados. HOOK STACKED: (1) pantalla celular WhatsApp con mensaje sin leer 14:07 (2) texto lima superpuesto: POV: son las 9pm (3) hook verbal simultáneo. Pablo cara a cámara. Fondo negro editado con IA.","cara_camara","[0-1s] HOOK VISUAL: pantalla celular WhatsApp, mensaje sin leer 14:07, texto lima superpuesto: POV: son las 9pm / [1-3s] HOOK VERBAL: Un interesado escribió a las 2 de la tarde. Nadie respondió. / [3-15s] AGITACIÓN: No fue intencional. El vendedor estaba en visita. Pensó que ya lo habían contestado. Clásico. Y ese lead ya firmó con la inmobiliaria de al lado. / [15-28s] REENCUADRE: Esto no es un problema de esfuerzo. Es un problema de sistema. Sin sistema el seguimiento depende de la memoria de tus vendedores. Y la memoria siempre falla. / [28-35s] SISTEMA + CTA: Con el sistema que instalamos cada consulta queda registrada, asignada y con seguimiento automático. El dueño ve en tiempo real qué pasó con cada una. Comentá DEMO.","35","","Pantalla celular realista con WhatsApp, mensaje entrante 14:07 sin leer. Fondo #0a0a0a. Texto Bebas Neue lima #CCFF00: POV: SON LAS 9PM."
"carrusel","AUTORIDAD","2026-06-30","borrador","WhatsApp no es tu sistema de ventas. Aunque lo uses como uno.","En WhatsApp no hay estados. No sabés si ese interesado está caliente o frío. Cuando el vendedor se va se lleva los chats. Y los contactos con él.","El problema no es WhatsApp. Es usarlo como única fuente de información de tu negocio.","Un sistema centraliza todo: consulta, estado, historial, próximo paso. Sin depender de ningún celular personal.","¿Tu inmobiliaria vive en el WhatsApp de tus vendedores? Comentá CRM.","WhatsApp no es tu sistema de ventas. Aunque lo uses como uno.\n\nEl problema no es la app. Es que toda la información de tu negocio vive en el celular de tus vendedores.\n\nY cuando uno se va... se lleva todo.\n\n→ Deslizá para ver los 4 puntos que hacen la diferencia.\n\n↳ Comentá CRM y te paso un ejemplo real.","#inmobiliaria|#inmobiliariasargentina|#crm|#sistemadegestion|#ventas|#godreamai|#whatsapp|#leads","Tema 7 – CRM / Por qué WhatsApp no puede ser el único lugar donde vive la información. 6 slides. Fondo negro #0a0a0a, tipografía Bebas Neue, acento lima. Slide 1: impacto. Slides 2-3: dolor. Slide 4: reencuadre. Slide 5: sistema. Slide 6: CTA.","carrusel_diseno","Slide 1: WhatsApp no es tu sistema de ventas. Aunque lo uses como uno. / Slide 2: En WhatsApp no hay estados. No sabés si ese interesado está caliente o frío. / Slide 3: Cuando el vendedor se va se lleva los chats. Y los contactos con él. / Slide 4: El problema no es WhatsApp. Es usarlo como única fuente de información de tu negocio. / Slide 5: Un sistema centraliza todo: consulta, estado, historial, próximo paso. Sin depender de ningún celular. / Slide 6: ¿Tu inmobiliaria vive en el WhatsApp de tus vendedores? Comentá CRM.","","","6 slides editorial. Fondo #0a0a0a. Slide 1 tipografía grande blanca. Slides 2-3 ícono WhatsApp tachado sutil. Slide 5 ícono panel/dashboard en lima. Slide 6 CTA en lima."
"reel","AUTORIDAD","2026-07-01","borrador","Mirá lo que pasa cuando entra un lead en una inmobiliaria que tiene sistema.","El interesado llega por Zonaprop. Aparece automáticamente en el sistema. Se asigna al vendedor disponible. Él recibe un aviso. Responde antes de los 5 minutos. El dueño lo ve todo desde el panel sin hacer nada.","No es magia ni inteligencia artificial rara. Es orden. Es dejar de depender de que alguien se acuerde de mirar WhatsApp.","Esto es lo que instalamos en 14 días. Sin equipo técnico. Sin complicaciones.","Comentá DEMO y te mostramos cómo se vería en tu inmobiliaria.","Mirá lo que pasa cuando entra un lead en una inmobiliaria que tiene sistema.\n\n→ Llega por Zonaprop\n→ Entra al sistema automáticamente\n→ Se asigna al vendedor disponible\n→ Él recibe el aviso\n→ Responde en menos de 5 minutos\n→ El dueño lo ve todo en tiempo real\n\nNo es magia. Es orden.\n\n↳ Comentá DEMO y te mostramos cómo se vería en tu inmobiliaria.","#inmobiliaria|#inmobiliariasargentina|#automatizacion|#leads|#zonaprop|#sistemadegestion|#godreamai|#demo","Tema 5 – Automatización de procesos / Asignación automática de consultas. HOOK STACKED: (1) pantalla del sistema con lead entrando en tiempo real (2) texto superpuesto: Así entra un lead con sistema (3) narración encima. Screencast del panel real con cursor moviéndose.","pantalla","[0-1s] HOOK VISUAL: pantalla del sistema mostrando lead entrando en tiempo real, notificación apareciendo. Texto superpuesto lima: Así entra un lead en una inmobiliaria con sistema. / [1-3s] HOOK VERBAL: Mirá lo que pasa cuando entra una consulta en una inmobiliaria que tiene sistema. / [3-18s] DEMO NARRADA: El interesado llega por Zonaprop. Automáticamente aparece acá [señalar]. Se asigna al vendedor disponible. Él recibe un aviso en el celular. Responde antes de los 5 minutos. Y el dueño sin hacer nada ve todo en tiempo real desde este panel. / [18-28s] REENCUADRE: No es magia ni inteligencia artificial. Es orden. Es dejar de depender de que alguien se acuerde de mirar WhatsApp. / [28-35s] CTA: Esto lo instalamos en 14 días. Comentá DEMO.","35","","Screencast limpio del panel GDAI. Fondo #0a0a0a. Cursor moviéndose en pantalla. Texto Bebas Neue lima superpuesto arriba: ASÍ ENTRA UN LEAD CON SISTEMA."
"carrusel","DOLOR","2026-07-02","borrador","Alguien completó el formulario de tu web. ¿Y después?","El mail llegó a una bandeja que nadie revisa seguido. El vendedor lo vio 2 horas después. Intentó llamar. No atendió. Se anotó en un post-it que nunca volvió a ver.","El problema no es el formulario. Es que no hay sistema detrás de esa consulta.","Con sistema cada formulario entra directo al seguimiento: asignado, con estado y con aviso automático si no se contesta en X tiempo.","¿Cuántas consultas se perdieron así esta semana? Comentá DEMO.","Alguien completó el formulario de tu web. ¿Y después?\n\nEn la mayoría de las inmobiliarias, pasa esto:\n→ El mail llega a una bandeja que nadie revisa seguido\n→ El vendedor lo ve 2 horas después\n→ Llama, no atienden\n→ Post-it que no vuelve a ver\n\nNo es culpa del vendedor. Es que no hay sistema detrás.\n\n↳ Comentá DEMO y te mostramos qué pasa cuando sí hay sistema.","#inmobiliaria|#inmobiliariasargentina|#leads|#captacion|#formularios|#godreamai|#sistemadegestion|#ventas","Tema 2 – Captación / Qué ocurre con la consulta después de enviarse. 6 slides narrativos. Fondo negro. Slide 1 pregunta que incomoda. Slides 2-4 secuencia de pérdida paso a paso. Slide 5 solución con sistema. Slide 6 CTA.","carrusel_diseno","Slide 1: Alguien completó el formulario de tu web. ¿Y después? / Slide 2: El mail llegó a una bandeja que nadie revisa seguido. / Slide 3: El vendedor lo vio 2 horas después. Intentó llamar. No atendió. / Slide 4: Se anotó en un post-it. Que nunca volvió a ver. / Slide 5: El problema no es el formulario. Es que no hay sistema detrás. Con sistema cada consulta entra al seguimiento con responsable y aviso automático. / Slide 6: ¿Cuántas consultas se perdieron así esta semana? Comentá DEMO.","","","6 slides editorial oscuro. Slides 2-4 secuencia visual de pérdida: ícono mail → reloj → post-it. Slide 5 contraste: ícono check verde. Tipografía DM Sans cuerpo, Bebas Neue títulos."
"reel","OBJECION","2026-07-03","borrador","'Mi inmobiliaria es chica, no necesito sistema.' Justo por eso lo necesitás.","Las agencias chicas no tienen equipo que cubra los errores. No tienen a alguien que recuerde llamar a cada lead. Cada consulta perdida duele más porque no podés darte el lujo de perderlas.","El tamaño no te protege del caos. Al contrario. Con menos personas el sistema importa más, no menos.","El sistema que instalamos lo opera cualquiera. Sin equipo técnico. Funcionando en 14 días.","Comentá DEMO si querés ver cómo funciona para una agencia de tu tamaño.","'Mi inmobiliaria es chica, no necesito sistema.'\n\nJusto por eso lo necesitás.\n\nCon menos gente, cada lead que perdés duele más.\nNo tenés equipo que cubra errores.\nNo tenés tiempo para armar procesos.\n\nEl tamaño no te protege del caos. Al contrario.\n\n↳ Comentá DEMO si querés ver cómo funciona para una agencia de tu tamaño.","#inmobiliaria|#inmobiliariasargentina|#pequeñainmobiliaria|#automatizacion|#leads|#godreamai|#sistemadegestion|#ventas","Tema 15 – Mitos / Mi negocio es pequeño para tener sistema. HOOK STACKED: (1) texto grande en pantalla fondo negro: 'Soy chico, no necesito sistema.' con X roja tachándolo (2) hook verbal directo (3) Pablo a cámara respondiendo. Pattern interrupt: texto tachado en frame 0.","cara_camara","[0-1s] HOOK VISUAL: texto fondo negro: 'Soy chico, no necesito sistema.' con X roja tachándolo lentamente / [1-3s] HOOK VERBAL: Justo por eso lo necesitás. / [3-15s] AGITACIÓN: Las agencias chicas no tienen equipo que cubra los errores. No tienen a alguien que recuerde llamar a cada lead. Cada consulta perdida duele más que en una agencia grande porque no podés darte el lujo. / [15-27s] REENCUADRE: El tamaño no te protege del caos. Al contrario. Con menos personas el sistema importa más, no menos. / [27-35s] SISTEMA + CTA: El sistema que instalamos lo opera cualquiera. Sin equipo técnico. Funcionando en 14 días. Comentá DEMO.","35","","Frame 0: texto Bebas Neue blanco fondo #0a0a0a: SOY CHICO NO NECESITO SISTEMA. X roja encima animada. Luego corte a Pablo cara a cámara."
"carrusel","TRANSFORMACION","2026-07-04","borrador","Así se ve una inmobiliaria antes y después de tener sistema.","ANTES: 200 chats en WhatsApp sin orden. Sin estados. Sin saber quién atiende qué. El dueño pregunta cómo vamos y nadie sabe responder con números.","El problema no es el esfuerzo del equipo. Es la falta de estructura que los deja trabajando a ciegas.","DESPUÉS: cada consulta tiene estado, responsable y fecha de próximo contacto. El dueño ve en 30 segundos qué pasó con cada lead de la semana.","¿Cuál es tu realidad ahora mismo? Comentá DEMO.","Así se ve una inmobiliaria antes y después de tener sistema.\n\nNo es teoría. Es lo que cambia cuando la operación tiene estructura.\n\n→ Deslizá para ver los 4 puntos clave.\n\n↳ ¿En cuál de los dos estás hoy? Comentá DEMO.","#inmobiliaria|#inmobiliariasargentina|#transformacion|#sistemadegestion|#leads|#godreamai|#crm|#antesydespues","Tema 1 – Webs y operación / Antes-después. 6 slides. Diseño split: lado izquierdo B&W (antes caos) vs lado derecho color con acento lima (después con sistema). Tipografía Bebas Neue. Labels ANTES/DESPUÉS en cada slide relevante.","carrusel_diseno","Slide 1: Así se ve una inmobiliaria antes y después de tener sistema. / Slide 2: ANTES: 200 chats en WhatsApp. Sin orden. Sin estados. Sin saber quién atiende qué. / Slide 3: ANTES: el dueño pregunta cómo vamos y nadie sabe responder con números. / Slide 4: DESPUÉS: cada consulta tiene estado, responsable y fecha de próximo contacto. / Slide 5: DESPUÉS: el dueño entra al panel y en 30 segundos sabe qué pasó con cada lead de la semana. / Slide 6: ¿Cuál es tu realidad ahora mismo? Comentá DEMO.","","","6 slides. Slides ANTES en blanco y negro #1a1a1a. Slides DESPUÉS en negro con acento lima #CCFF00. Label ANTES/DESPUÉS en Bebas Neue grande en esquina superior."
"reel","DOLOR","2026-07-06","borrador","Cuando el vendedor se va, ¿qué queda en tu inmobiliaria?","Dos años construyendo relaciones con clientes. Todo en su celular personal. Todo en sus chats de WhatsApp. Se va el lunes. El martes esos contactos son suyos, no de la inmobiliaria.","El problema no es la lealtad de los vendedores. Es que la información nunca fue de la empresa. Eso no es culpa de ellos. Es un problema de sistema.","Con sistema cada contacto queda registrado en la empresa. El vendedor puede irse. Los datos, no.","Comentá DEMO y te mostramos cómo funciona.","Cuando el vendedor se va, ¿qué queda en tu inmobiliaria?\n\nDos años de relaciones con clientes.\nTodo en su celular.\nTodo en sus chats de WhatsApp.\n\nSe va el lunes. El martes esos contactos son suyos.\n\nEl problema no es la lealtad. Es que la información nunca fue de la empresa.\n\n↳ Comentá DEMO y te mostramos cómo evitar esto.","#inmobiliaria|#inmobiliariasargentina|#vendedores|#sistemadegestion|#leads|#godreamai|#gestion|#datos","Tema 3 – Seguimiento / El vendedor que se va y se lleva los contactos. ACTUACIÓN: Pablo empacando objetos de escritorio en una caja de cartón (simula vendedor que se va). Fondo de oficina inmobiliaria editado con IA. Texto superpuesto frame 0: Cuando el vendedor se va...","cara_camara","[0-1s] HOOK VISUAL: Pablo empacando cosas en caja, fondo oficina IA. Texto lima superpuesto: Cuando el vendedor se va... / [1-3s] HOOK VERBAL: Cuando el vendedor se va, ¿qué queda en tu inmobiliaria? / [3-15s] AGITACIÓN: Dos años construyendo relaciones con clientes. Todo en su celular personal. Todo en sus chats de WhatsApp. Se va el lunes. El martes esos contactos son suyos, no de la inmobiliaria. / [15-27s] REENCUADRE: El problema no es la lealtad de tus vendedores. Es que la información nunca fue de la empresa. Eso no es culpa de ellos. Es un problema de sistema. / [27-35s] SISTEMA + CTA: Con sistema cada contacto queda registrado en la empresa. El vendedor puede irse. Los datos, no. Comentá DEMO.","35","","Pablo de pie empacando caja de cartón. Fondo oficina inmobiliaria generado con IA (paredes blancas, escritorio, logo inmobiliaria difuso). Texto Bebas Neue lima: CUANDO EL VENDEDOR SE VA..."
"carrusel","AUTORIDAD","2026-07-07","borrador","Si no sabés por dónde empezar a ordenar tu inmobiliaria, empezá por acá.","Sin un solo lugar donde queden todas las consultas el resto no sirve. Sin responsable y estado por consulta nada se sigue. Sin aviso automático de consultas sin respuesta el seguimiento depende de la memoria.","No hace falta un sistema enorme. Hace falta orden en 3 puntos concretos. Eso solo ya cambia la operación.","Esos tres puntos son la base de cualquier sistema que instalamos. Sin apps complicadas. Sin equipo técnico.","¿Por cuál de estos tres está fallando tu inmobiliaria? Comentá abajo.","Si no sabés por dónde empezar a ordenar tu inmobiliaria, empezá por acá.\n\nNo hace falta un sistema enorme. Hace falta orden en 3 puntos.\n\n→ Deslizá y mirá cuál te falta.\n\n↳ Comentá cuál es tu punto débil ahora mismo.","#inmobiliaria|#inmobiliariasargentina|#automatizacion|#sistemadegestion|#gestion|#godreamai|#orden|#leads","Tema 14 – Madurez digital / Qué automatizar primero. 6 slides. Formato lista numerada 1-2-3. Tipografía limpia. Slide 1 pregunta que engancha. Slides 2-4 los 3 pasos con ícono por punto. Slide 5 síntesis. Slide 6 CTA pregunta abierta.","carrusel_diseno","Slide 1: Si no sabés por dónde empezar a ordenar tu inmobiliaria, empezá por acá. / Slide 2: 1. Un solo lugar donde queden registradas TODAS las consultas que entran. / Slide 3: 2. Que cada consulta tenga un responsable y un estado visible. / Slide 4: 3. Que el sistema avise cuando una consulta lleva más de X horas sin respuesta. / Slide 5: Esos tres puntos solos cambian la operación. Sin apps complicadas. Sin equipo técnico. / Slide 6: ¿Por cuál de estos tres está fallando tu inmobiliaria ahora? Comentá abajo.","","","6 slides. Fondo #0a0a0a. Números 1/2/3 grandes en lima. Íconos simples por punto (bandeja entrada, tag, campana). Tipografía DM Sans cuerpo."
"reel","AUTORIDAD","2026-07-08","borrador","Son las 11pm. Un interesado escribe. Nadie está. Igual recibe respuesta en 30 segundos.","No fue un vendedor. Fue el sistema. Registró la consulta, le preguntó por zona y presupuesto, y le avisó al equipo para el día siguiente. El interesado sintió que lo atendieron.","No se trata de reemplazar personas. Se trata de que la consulta no muera mientras todos duermen. El 62% de las búsquedas inmobiliarias ocurren de noche.","El vendedor llega a la mañana con el contexto completo. La primera impresión la da el sistema. La relación la construye el vendedor.","Comentá DEMO y te mostramos cómo funciona.","Son las 11pm. Un interesado escribe. Nadie está. Igual recibe respuesta en 30 segundos.\n\nNo fue un vendedor. Fue el sistema.\n\nRegistró la consulta. Preguntó qué está buscando. Avisó al equipo para el día siguiente.\n\nEso no es reemplazar personas. Es que la consulta no muera mientras todos duermen.\n\n↳ Comentá DEMO y te mostramos cómo funciona.","#inmobiliaria|#inmobiliariasargentina|#whatsapp|#automatizacion|#leads|#godreamai|#respuestaautomatica|#sistemadegestion","Tema 4 – Automatización de WhatsApp / Primera respuesta automática fuera de horario. HOOK STACKED: (1) pantalla celular con mensaje entrante 23:14 y respuesta automática 30 segundos después (2) texto superpuesto: Son las 11pm (3) hook verbal. Screencast real o mock realista.","pantalla","[0-1s] HOOK VISUAL: pantalla celular, mensaje entrante 23:14, respuesta automática llegando 30 segundos después. Texto lima superpuesto: Son las 11pm. / [1-3s] HOOK VERBAL: Un interesado escribe. Nadie está despierto. Igual recibe respuesta en 30 segundos. / [3-18s] DEMO NARRADA: No fue un vendedor [señalar pantalla]. Fue el sistema. Registró la consulta, le preguntó por zona y presupuesto, y le avisó al equipo para el día siguiente. El interesado sintió que lo atendieron. El vendedor llega a la mañana con el contexto completo. / [18-27s] REENCUADRE: No se trata de reemplazar personas. Se trata de que la consulta no muera mientras todos duermen. El 62% de las búsquedas inmobiliarias pasan entre las 7pm y las 11pm. Sin sistema, las perdés. / [27-35s] CTA: Esto lo armamos en 14 días. Comentá DEMO.","35","","Pantalla celular modo oscuro. Hora 23:14. Mensaje entrante, indicador de escritura, respuesta automática llegando. Fondo #0a0a0a. Texto lima: SON LAS 11PM."
"carrusel","TRANSFORMACION","2026-07-09","borrador","Lo que el dueño de una inmobiliaria debería ver cada mañana.","¿Cuántas consultas entraron ayer? ¿Por qué canal? ¿Cuáles fueron respondidas en menos de 5 minutos? ¿Cuáles no? ¿Qué vendedor tiene leads sin responder hace más de 24hs?","Eso no es un lujo. Es información básica para tomar decisiones. Sin eso el dueño trabaja a ciegas.","Un panel de control da eso en tiempo real. Sin llamar a nadie. Sin revisar planillas. Sin esperar el resumen del lunes.","¿Lo tenés hoy? Si no, Comentá DEMO.","Lo que el dueño de una inmobiliaria debería ver cada mañana.\n\nNo un Excel. No un resumen por WhatsApp.\n\nNúmeros reales, en tiempo real:\n→ Consultas de ayer\n→ Tiempos de respuesta\n→ Leads sin atender\n→ Canal de origen\n\nSin llamar a nadie. Sin revisar planillas.\n\n↳ ¿Lo tenés hoy? Comentá DEMO.","#inmobiliaria|#inmobiliariasargentina|#datos|#panel|#gestion|#godreamai|#sistemadegestion|#liderazgo","Tema 8 – Conversión / Visibilidad del dueño en tiempo real. 6 slides. Diseño que simula dashboard. Slide 1 pregunta de impacto. Slides 2-4 preguntas que el dueño no puede responder hoy. Slide 5 mock del panel. Slide 6 CTA.","carrusel_diseno","Slide 1: Lo que el dueño de una inmobiliaria debería ver cada mañana. / Slide 2: ¿Cuántas consultas entraron ayer? ¿Por qué canal? / Slide 3: ¿Cuáles fueron respondidas en menos de 5 minutos? ¿Cuáles no? / Slide 4: ¿Qué vendedor tiene leads sin responder hace más de 24hs? / Slide 5: Eso es lo que te da un panel de control. Sin llamar a nadie. Sin revisar planillas. / Slide 6: ¿Lo tenés hoy? Si no, Comentá DEMO.","","","6 slides. Fondo #0a0a0a. Slides 2-4 tipografía pregunta en blanco grande. Slide 5 mock dashboard con métricas ficticias en lima. Slide 6 fondo lima, texto negro: ¿LO TENÉS?"
