tipo,pilar,fecha_publicacion,estado,hook,agitacion,reencuadre,sistema,cta,caption,hashtags,descripcion_visual,formato_produccion,guion,duracion_seg,imagen_url,prompt_imagen
"reel","DOLOR","2026-06-01","borrador","¿Sabés cuántos leads activos tenés ahora mismo? Si dudaste, ese es el problema.","Tus vendedores atienden desde el celular personal. Cada consulta en un chat distinto. Sin registro. Sin seguimiento. El dueño no ve qué pasa.","El problema no es la motivación de tu equipo. Es que estás vendiendo sin sistema.","En 14 días armamos el sistema que centraliza todo, sigue cada consulta automáticamente y te muestra en tiempo real qué pasa.","Comentá DEMO y te mostramos cómo se vería en tu inmobiliaria.","¿Sabés cuántos leads activos tenés ahora mismo?\n\nSi dudaste, ese es el problema.\n\nTus vendedores atienden desde el celular personal.\nCada consulta en un chat distinto.\nSin registro. Sin seguimiento.\nEl dueño no ve qué pasa.\n\nEl problema no es la motivación de tu equipo.\nEs que estás vendiendo sin sistema.\n\nEn 14 días lo ordenamos.\n\nComentá DEMO. (Link en primer comentario.)","#inmobiliaria|#inmobiliariasargentina|#sistemasinmobiliarios|#godreamai|#automatizacion","Cara a cámara. Fondo negro #0a0a0a. Hook aparece en texto onscreen Bebas Neue blanco. Gesto de pausa al decir ""si dudaste"".","cara_camara","[0-3s] ¿Sabés cuántos leads activos tenés ahora mismo? — pausa — Si dudaste... ese es el problema. / [3-15s] Tus vendedores atienden desde el celular personal. Cada consulta en un chat distinto. Sin registro. Sin seguimiento. El dueño no ve nada. / [15-25s] El problema no es la motivación de tu equipo. Es que estás vendiendo sin sistema. / [25-35s] En 14 días lo ordenamos. Comentá DEMO y te mostramos cómo se vería en tu inmobiliaria.","35","","Retrato editorial frontal. Hombre argentino 30s a cámara. Fondo #0a0a0a. Texto Bebas Neue blanco arriba: ¿SABÉS CUÁNTOS LEADS TENÉS? Acento lima #CCFF00 en signo de pregunta."
"historia","DOLOR","2026-06-01","borrador","¿Tu equipo atiende consultas desde el celular personal?","Apertura semanal. Tema: sin visibilidad de leads.","","","Respondé esta historia si querés ver el sistema en tu inmobiliaria.","","#historias|#inmobiliaria|#godreamai","6 stories. Fondo oscuro. Texto blanco. Story 3 encuesta nativa IG. Story 6 caja de respuestas abierta.","solo_texto","Story 1: Empezá la semana con esto. / Story 2: ¿Cuántos WhatsApp de consultas tenés sin responder ahora mismo? / Story 3: ENCUESTA - ¿Tu equipo atiende desde el celu personal? [Sí, todos | Solo algunos] / Story 4: El problema no es el vendedor. Es que no hay sistema detrás. / Story 5: Esta semana te muestro cómo cambia eso en una inmobiliaria. / Story 6: CTA - ¿Querés verlo en tu caso? Respondé esta historia.","","",""
"reel","TRANSFORMACION","2026-06-02","borrador","Tu broker tardó 2 horas en responder. El cliente ya firmó con otro.","200 mensajes de WhatsApp sin orden. Nadie sabe a quién llamar. Los leads se enfrían solos. El dueño vive apagando incendios mientras los interesados se van.","No es un problema de vendedores. Es un problema de arquitectura. La respuesta no puede depender de que alguien se acuerde.","Con el sistema: cada consulta entra sola, se asigna sola, se sigue sola. El primer mensaje llega en menos de 5 minutos. El dueño ve en tiempo real qué pasó con cada interesado.","Mandame INMO y te muestro cómo funciona.","Tu broker tardó 2 horas en responder.\nEl cliente ya firmó con otro.\n\nAsí se pierde una operación en 2026.\n\nNo por falta de publicidad.\nNo por falta de propiedades.\nPor falta de sistema.\n\nCon el sistema:\n→ Cada consulta entra sola\n→ Se asigna sola\n→ El primer mensaje llega en menos de 5 minutos\n→ El dueño ve todo en tiempo real\n\nMandame INMO y te muestro cómo funciona.","#inmobiliaria|#inmobiliariasargentina|#speedtolead|#sistemasinmobiliarios|#godreamai","Pantalla dividida o screencast: lado izquierdo WhatsApp caótico sin orden, lado derecho panel limpio con estados de cada consulta. Contraste visual claro.","pantalla","[0-3s] Tu broker tardó 2 horas en responder. El cliente ya firmó con otro. / [3-12s] Así se pierde una operación. 200 mensajes sin orden. Nadie sabe a quién llamar. Los leads se enfrían solos. / [12-22s] No es un problema de vendedores. Es un problema de arquitectura. La respuesta no puede depender de que alguien se acuerde. / [22-35s] Con el sistema: cada consulta entra sola, se asigna sola, el mensaje llega en menos de 5 minutos. Mandame INMO y te muestro cómo.","35","","Split screen editorial. Izquierda: captura WhatsApp desordenado, 200 mensajes sin leer. Derecha: panel dashboard con estados Verde/Naranja/Rojo por consulta. Fondo #0a0a0a. Título Bebas Neue: ANTES / DESPUÉS."
"post_linkedin","AUTORIDAD","2026-06-02","borrador","El 78% de los compradores trabaja con el primer agente que responde.","No el más barato. No el que tiene más propiedades. El que responde primero.\n\nEl agente promedio tarda más de 15 horas en responder una consulta nueva. 15 horas.\nEn ese tiempo, el interesado ya habló con 3 agencias más.","La velocidad de respuesta no es un problema de motivación. Es un problema de sistema.\n\nSi el proceso depende de que alguien se acuerde de revisar el WhatsApp, el proceso ya falló antes de arrancar.","Una inmobiliaria con sistema responde en menos de 5 minutos, automáticamente. No importa si son las 22hs. No importa si el vendedor está en una visita.\n\nEso no es tecnología. Es dejar de regalar clientes a la competencia.","¿Tu agencia responde en menos de 5 minutos? Si no, coordinamos un diagnóstico de 30 minutos sin costo. (Link en primer comentario.)","El 78% de los compradores trabaja con el primer agente que responde.\n\nNo el más barato. No el que tiene más propiedades.\nEl que responde primero.\n\nEl agente promedio tarda más de 15 horas en responder una consulta nueva.\n15 horas.\nEn ese tiempo el interesado ya habló con 3 agencias más.\n\nLa velocidad de respuesta no es un problema de motivación.\nEs un problema de sistema.\n\nSi el proceso depende de que alguien se acuerde de revisar el WhatsApp, el proceso ya falló antes de arrancar.\n\nUna inmobiliaria con sistema responde en menos de 5 minutos, automáticamente.\nNo importa si son las 22hs. No importa si el vendedor está en una visita.\n\nEso no es tecnología. Es dejar de regalar clientes a la competencia.\n\n¿Tu agencia responde en menos de 5 minutos? (Link en primer comentario.)","#inmobiliaria|#realestate|#procesoscomerciales|#inmobiliariasargentina|#sistemasinmobiliarios","Post de texto largo LinkedIn. Sin imágenes. Primera línea es el único gancho visible antes del ""ver más"".","solo_texto","","","",""
"historia","TRANSFORMACION","2026-06-02","borrador","El antes y el después de ordenar WhatsApp en una inmobiliaria","Contraste: caos vs. sistema ordenado","","","Guardá esto si tu inmobiliaria todavía vende a mano.","","#historias|#inmobiliaria|#transformacion","5 stories. Contraste visual. Story 2 con imagen antes (WhatsApp caótico). Story 4 con imagen después (panel limpio). Story 5 CTA suave.","solo_texto","Story 1: ¿Cómo se ve una inmobiliaria antes de ordenar su seguimiento? / Story 2: IMAGEN - captura WhatsApp con 200 mensajes sin responder, sin orden. / Story 3: ¿Cuántos mensajes sin responder tenés ahora? [Menos de 20 | Más de 50 | Prefiero no saber] / Story 4: IMAGEN - panel con cada consulta en su estado: nuevo / contactado / visita agendada / cerrado. / Story 5: CTA - Así se ve cuando hay sistema. ¿Querés verlo en tu inmobiliaria? Respondé esta historia.","","",""
"carrusel","AUTORIDAD","2026-06-03","borrador","3 errores de seguimiento que tienen casi todas las inmobiliarias","Error 1: el primer contacto tarda más de 30 minutos. Error 2: nadie sabe cuántos leads perdidos hubo esta semana. Error 3: el seguimiento post-visita depende de la memoria del vendedor.","Estos no son errores de personas. Son errores de proceso. Un sistema resuelve los tres.","Con el sistema correcto: primer contacto automático en menos de 5 minutos, registro de cada lead y su estado, seguimiento post-visita programado sin que nadie tenga que acordarse.","Guardá este carrusel. Y si reconocés tu inmobiliaria en alguno de estos errores, comentá DEMO.","3 errores de seguimiento que tienen casi todas las inmobiliarias.\n\nSi tu agencia tiene más de 3 personas en ventas, alguno de estos te va a doler.\n\n→ Ver carrusel completo.\n\nSi te reconocés en alguno, comentá DEMO. (Link de diagnóstico en primer comentario.)","#inmobiliaria|#inmobiliariasargentina|#sistemasinmobiliarios|#procesoscomerciales|#godreamai","Carrusel 6 slides. Fondo oscuro #0a0a0a. Título en Bebas Neue blanco con acentos lima #CCFF00 en números. Una idea por slide. Legible en 2 segundos.","carrusel_diseno","Slide 1: 3 ERRORES DE SEGUIMIENTO QUE TIENEN CASI TODAS LAS INMOBILIARIAS / Slide 2: ERROR 1 — El primer contacto tarda más de 30 minutos. El interesado ya llamó a la competencia. (Dato: el 78% compra al primer agente que responde — NAR 2025) / Slide 3: ERROR 2 — Nadie sabe cuántos leads perdidos hubo esta semana. Sin registro = sin mejora posible. / Slide 4: ERROR 3 — El seguimiento post-visita depende de la memoria del vendedor. Si se olvida, se pierde la operación. / Slide 5: Estos no son errores de personas. Son errores de proceso. Un sistema los resuelve los tres. / Slide 6: ¿Cuántos de estos tiene tu inmobiliaria? Comentá DEMO y revisamos juntos.","","","Carrusel editorial oscuro. Tipografía Bebas Neue para títulos, DM Sans para cuerpo. Paleta: negro #0a0a0a fondo, blanco #F5F5F5 texto, lima #CCFF00 acentos en números de error. Minimalista, sin ilustraciones decorativas."
"historia","AUTORIDAD","2026-06-03","borrador","¿Cuál de estos errores tiene tu inmobiliaria?","Compartir el carrusel del día y profundizar en el error más común","","","Respondé: ¿cuál de los 3 errores te identifica más?","","#historias|#inmobiliaria|#autoridad","5 stories. Compartir carrusel del feed. Encuesta para engagement. Cierre con CTA a diagnóstico.","solo_texto","Story 1: Hoy en el feed subí algo que le duele a la mayoría de las inmobiliarias. / Story 2: Son 3 errores de seguimiento. Todos los vi en agencias reales. / Story 3: ENCUESTA - ¿Cuál te identifica más? [El primer contacto tarde | Sin registro de leads | Seguimiento a memoria] / Story 4: El más común que veo: el seguimiento post-visita que queda en un post-it. / Story 5: CTA - Si querés revisarlo en tu caso, respondé esta historia con ""DEMO"".","","",""
"reel","AUTORIDAD","2026-06-04","borrador","Lo que debería ver el dueño de una inmobiliaria cada mañana.","Hoy entraron 12 consultas. 3 sin responder. 1 visita agendada. 2 propiedades con más de 5 interesados esta semana. Esto existe. La mayoría de los dueños no lo ve porque no tiene dónde verlo.","El problema no es la información. Es que la información vive en chats personales, llamadas que nadie registra y hojas de Excel que no se actualizan.","Con el panel correcto, el dueño ve en 30 segundos qué pasó con cada consulta, qué propiedades generan más interés y qué vendedor necesita atención. Sin preguntarle nada a nadie.","Comentá DEMO y te mostramos cómo se ve el panel en tu inmobiliaria.","Lo que debería ver el dueño de una inmobiliaria cada mañana.\n\nHoy entraron 12 consultas.\n3 sin responder.\n1 visita agendada.\n2 propiedades con más de 5 interesados esta semana.\n\nEsto existe.\nLa mayoría de los dueños no lo ve porque no tiene dónde verlo.\n\nEl problema no es la información.\nEs que vive en chats personales y Excels sin actualizar.\n\nCon el panel correcto: 30 segundos y sabés todo lo que pasó.\nSin preguntarle nada a nadie.\n\nComentá DEMO. (Link en primer comentario.)","#inmobiliaria|#inmobiliariasargentina|#datosenmobiliaria|#sistemasinmobiliarios|#godreamai","Screencast del panel/dashboard mostrando métricas reales en tiempo real. Cursor moviéndose entre secciones. Voz en off explicando cada dato. Limpio, sin ruido visual.","pantalla","[0-3s] Lo que debería ver el dueño de una inmobiliaria cada mañana. / [3-12s] Hoy entraron 12 consultas. 3 sin responder. 1 visita agendada. 2 propiedades con más de 5 interesados esta semana. Esto existe. / [12-22s] La mayoría de los dueños no lo ve porque no tiene dónde verlo. La información vive en chats personales y Excels que nadie actualiza. / [22-35s] Con el panel correcto: 30 segundos y sabés todo lo que pasó. Sin preguntarle nada a nadie. Comentá DEMO.","35","","Editorial oscuro. Panel tipo dashboard con métricas: consultas hoy / sin responder / visitas agendadas. Cifras en Bebas Neue lima #CCFF00. Fondo #0a0a0a. Estética limpia, datos reales anonimizados."
"post_linkedin","DOLOR","2026-06-04","borrador","917 minutos. Ese es el tiempo promedio que tarda un agente inmobiliario en responder un lead nuevo.","15 horas y media.\n\nEn ese tiempo, el interesado ya buscó en 4 portales más, habló con 2 agencias y posiblemente ya agendó una visita con alguien que respondió en 3 minutos.\n\nEsto lo mide Inman 2025. No es una anécdota. Es la norma del sector.","El problema no es que los vendedores no quieran responder. Es que el proceso depende de que alguien se acuerde de revisar el canal correcto en el momento correcto.\n\nCuando el proceso depende de la memoria humana, el proceso falla.","Una inmobiliaria con sistema responde en menos de 5 minutos, sin importar la hora ni si el vendedor está en una visita. La respuesta llega sola. El vendedor entra cuando el lead ya está calificado.","¿Cuánto tarda tu agencia en responder el primer mensaje de un lead? (Diagnóstico gratuito disponible. Link en primer comentario.)","917 minutos.\n\nEse es el tiempo promedio que tarda un agente inmobiliario en responder un lead nuevo.\n15 horas y media.\n\nEn ese tiempo, el interesado ya buscó en 4 portales más, habló con 2 agencias y posiblemente ya agendó visita con alguien que respondió en 3 minutos.\n\nEsto lo mide Inman 2025. No es una anécdota. Es la norma del sector.\n\nEl problema no es que los vendedores no quieran responder.\nEs que el proceso depende de que alguien se acuerde de revisar el canal correcto en el momento correcto.\n\nCuando el proceso depende de la memoria humana, el proceso falla.\n\nUna inmobiliaria con sistema responde en menos de 5 minutos, sin importar la hora.\nLa respuesta llega sola. El vendedor entra cuando el lead ya está calificado.\n\n¿Cuánto tarda tu agencia? (Link en primer comentario.)","#inmobiliaria|#realestate|#inmobiliariasargentina|#sistemasinmobiliarios|#procesoscomerciales","Post de texto largo LinkedIn. Sin imagen. Primera línea ""917 minutos"" es el gancho solo.","solo_texto","","","",""
"historia","AUTORIDAD","2026-06-04","borrador","917 minutos. ¿Tu agencia está en ese promedio?","Demo del panel y dato de impacto sobre velocidad de respuesta","","","¿Querés saber cuánto tarda tu agencia en responder? Respondé esta historia.","","#historias|#inmobiliaria|#demo","5 stories. Story 3 con dato de impacto en pantalla completa. Story 4 mini demo del sistema. Story 5 CTA a diagnóstico.","pantalla","Story 1: Dato de hoy: el agente promedio tarda 917 minutos en responder un lead. / Story 2: Eso es más de 15 horas. El cliente ya firmó con otro. / Story 3: DATO PANTALLA - 917 MIN promedio de respuesta. 5 MIN con sistema. 21x más chances de cerrar. / Story 4: DEMO - así se ve el primer mensaje automático que llega en menos de 5 minutos cuando entra una consulta. / Story 5: CTA - ¿Cuánto tarda tu agencia? Respondé esta historia y lo revisamos.","","",""
